state_and_score
Massachusetts (SPI score: 64.82)
Minnesota (SPI score: 62.30)
Vermont (SPI score: 61.90)
New Hampshire (SPI score: 61.76)
Connecticut (SPI score: 61.09)
Wisconsin (SPI score: 57.88)
Washington (SPI score: 57.76)
Maine (SPI score: 57.54)
Iowa (SPI score: 57.21)
Rhode Island (SPI score: 56.67)
Colorado (SPI score: 56.01)
New York (SPI score: 54.76)
Maryland (SPI score: 54.47)
New Jersey (SPI score: 54.26)
Virginia (SPI score: 54.22)
Oregon (SPI score: 53.36)
North Dakota (SPI score: 53.14)
Nebraska (SPI score: 52.57)
Illinois (SPI score: 52.33)
South Dakota (SPI score: 51.81)
Delaware (SPI score: 51.55)
Pennsylvania (SPI score: 51.08)
Michigan (SPI score: 50.76)
Utah (SPI score: 50.58)
Hawaii (SPI score: 49.82)
Ohio (SPI score: 48.64)
Kansas (SPI score: 48.26)
Idaho (SPI score: 47.77)
Wyoming (SPI score: 46.90)
North Carolina (SPI score: 46.80)
Montana (SPI score: 46.64)
Florida (SPI score: 45.93)
California (SPI score: 45.53)
Arizona (SPI score: 45.43)
Alaska(SPI score: 43.77)
Missouri (SPI score: 43.70)
Indiana (SPI score: 43.54)
Georgia (SPI score: 43.25)
South Carolina (SPI score: 41.99)
Tennessee (SPI score: 41.24)
Nevada (SPI score: 40.29)
Texas (SPI score: 40.27)
Kentucky (SPI score: 38.60)
New Mexico (SPI score: 37.16)
Alabama (SPI score: 33.60)
Oklahoma (SPI score: 32.80)
Arkansas (SPI score: 32.10)
Louisiana (SPI score: 30.07)
West Virginia (SPI score: 29.50)
Mississippi (SPI score: 27.18)
